地下水埋深,扶沟站径流,练寺雨量站降水量(mm),平均相对湿度%,日照时数h,平均气温℃,平均风速(km/d),小蒸发皿(mm),作物需水量（mm）
3.46,2.436,0,54.2,6,1.59,183.17,7.9,2.7
3.46,2.068,0,49.2,5.42,-1.26,164.16,4.6,2.36
3.47,1.704,0,53.8,3.08,1.79,184.9,5.7,2.77
3.47,1.864,0,74.6,3.22,3.12,186.62,4.1,2.2
3.46,2.172,0,67,2.84,-0.81,195.26,5.3,2.3
3.46,2.175,0,67.33,5.45,5.17,172.8,9.6,3.64
3.45,2.05,0,65.8,2.18,1.58,191.81,5.4,2.46
3.46,2.032,0,67.8,4.92,3.53,148.61,7.4,2.95
3.49,1.84,0,50.8,7.38,5.18,145.15,13.1,4
3.51,1.778,0,38.2,8.36,6.74,172.8,17.4,5.26
3.53,1.172,0,61.6,3.52,7.85,157.25,12.4,4.01
3.56,4.473333333,0,86,1.17,9.28,195.84,4,1.69
3.57,6.304,0,65.6,7.34,8.91,148.61,16.7,5.55
3.57,3.956,0,74,4.14,12.79,157.25,13.3,5.78
3.55,4.818,0,86,1.9,7.83,269.57,6.8,4.24
3.42,10.142,0,73.2,4.4,8.45,143.42,12.4,6.42
3.4,13.94,0,71.8,2.72,9.76,110.59,12.9,6.82
3.39,7.916666667,0,65.83,8.72,14.06,182.88,25.8,15.96
3.38,15.7,0,83,4,12.11,267.84,11,9.54
3.37,10.986,0,71.4,5.44,14.1,165.89,17.8,13.09
3.36,4.59,0,70,6.62,15.87,153.79,21,15.79
3.35,8.67,0,80.2,5.6,14.06,184.9,16.1,14.96
3.34,3.626,0,71.8,5.6,15.55,133.06,18.8,16.86
3.34,5.848,0,71,10.02,20.57,196.99,27.5,26.08
3.34,4.272,0,73.8,8.12,22.76,196.99,27.1,25.34
3.41,6.964,10.8,77.2,4.9,17.29,186.62,18.9,18.15
3.47,13.078,7.4,83,4.68,20.97,202.18,18.5,19.26
3.52,11.336,0,62.8,10.52,21.81,148.61,33.4,29.06
3.59,9.364,0,64.2,10.44,22.95,136.51,37.1,19.5
3.74,7.233333333,0,59,9.13,23.62,217.44,49.5,8.33
3.77,6.014,0,49.2,11.2,25.18,221.18,49.8,8.09
3.79,8.12,9.2,73,2.28,23.35,219.46,24,1.38
3.8,4.432,0,54,10.88,26.6,127.87,43,0
3.88,1.948,0,60.6,6.96,26.32,88.13,33.2,5.46
4.01,0.0092,0.8,63.4,6.84,28.23,96.77,35.7,11.93
4.19,0.85,30.5,73.8,5.72,27.46,131.33,26.7,10.77
4.05,1.834,46.8,83.8,4.82,27.81,162.43,30.9,10.14
3.96,5.132,0,73.4,10.42,26.84,108.86,34.9,13.4
3.9,4.558,1.1,77.6,6.86,26.28,84.67,26.7,10.79
3.81,18.034,120.8,90.6,2.52,27.15,162.43,19.65,7.63
3.72,16.12,0.7,85.6,7.56,28.71,112.32,27.7,11.45
3.55,9.833333333,0,80.67,10,29.83,82.08,39,22.68
3.56,13.178,17.3,87.4,5.34,28.46,150.34,31.4,20.7
3.59,11.144,0,80.2,8.44,28.6,84.67,29.8,31.29
3.69,2.64,0,78,9.8,27.27,122.69,29.5,32.14
3.71,2.088,3.2,76.4,8.66,25.94,238.46,31.6,30.59
3.88,2.214,0,82,8.86,26.62,108.86,26.6,13.34
3.94,3.615,0,82.33,8.82,28.35,135.36,33,16.32
3.98,2.104,0,75.2,6.58,23.3,179.71,24.9,11.17
3.99,2.008,0,76.2,10.12,25.25,131.33,27.5,13.29
4,2.956,47.3,91.6,0.72,16.66,240.19,6.8,4.9
4.08,5.916,0,69.6,8.86,18.32,157.25,23.7,10.48
4.15,2.226,0,67.4,6.6,18.18,101.95,20.2,5.02
4.2,1.908,0,68.2,7.58,18.48,119.23,21.8,0
4.22,1.936,0,73.2,5.68,18.71,119.23,17.5,0
4.23,1.83,0,63.8,7.82,19.11,110.59,22.6,1.33
4.27,1.632,0,73.2,5.04,19.3,76.03,14.8,5.11
4.29,1.538,0,62.6,7.38,20.67,82.94,21.2,5.93
4.37,1.454,0,64.6,4.72,15.87,88.13,16.9,4.34
4.5,1.503333333,0,64.33,7.55,10.5,50.4,15.6,4.3
4.51,4.746,0,64.8,7.86,11.83,105.41,14.5,4.18
4.5,2.008,0,71.4,3.96,12.45,84.67,8.7,2.89
4.5,2.698,0,91.2,1.04,9.39,217.73,3.3,1.93
4.47,4.372,0,75.6,4.76,5.05,110.59,4.9,2.3
4.45,3.438,0,84.8,3.02,9.08,133.06,4.9,2.17
4.4,2.832,0,82.6,1.12,5.11,202.18,4.2,2.01
4.3,3.49,0,77.8,3.76,2.45,188.35,3.6,1.85
4.38,1.256,0,68.4,4.52,2.02,205.63,5.2,2.17
4.39,0,0,66.6,3.8,3.31,127.87,5,2.17
4.4,0,0,90.4,1,4.53,179.71,2,1.51
