地下水埋深,扶沟站径流,练寺雨量站降水量(mm),平均相对湿度%,日照时数h,平均气温℃,平均风速(km/d),小蒸发皿(mm),作物需水量（mm）
3.463,2.069,0,52.4,4.833,0.707,177.408,18.2,7.833
3.463,2.07,0,69.644,3.837,2.492,184.896,19,8.132
3.467,1.974,0,61.467,4.827,3.43,161.856,25.9,9.409
3.533,2.474,0,61.933,4.349,7.958,175.296,33.8,10.953
3.563,5.026,0,75.2,4.46,9.843,191.808,36.8,15.575
3.403,10.666,0,70.278,5.279,10.756,145.632,51.1,29.212
3.37,10.425,0,74.8,5.353,14.027,195.84,49.8,38.415
3.343,6.048,0,74.333,7.073,16.727,171.648,62.4,57.907
3.407,8.105,18.2,78,5.9,20.34,195.264,64.5,62.747
3.617,9.311,0,62,10.031,22.792,167.52,120,56.891
3.787,6.189,9.2,58.733,8.12,25.043,189.504,116.8,9.468
4.027,0.936,31.3,65.933,6.507,27.337,105.408,95.6,28.153
3.97,3.841,47.9,78.267,7.367,26.977,118.656,92.5,34.335
3.693,14.662,121.5,85.622,6.693,28.562,118.944,86.35,41.758
3.613,8.987,17.3,81.867,7.86,28.11,119.232,90.7,84.124
3.843,2.639,3.2,80.244,8.779,26.97,160.896,91.2,60.249
3.99,2.356,47.3,81,5.807,21.737,183.744,59.2,29.353
4.143,3.35,0,68.4,7.68,18.327,126.144,65.7,15.5
4.24,1.799,0,70.067,6.18,19.04,101.952,54.9,6.437
4.387,1.498,0,63.844,6.55,15.68,73.824,53.7,14.57
4.503,3.151,0,75.8,4.287,11.223,135.936,26.5,9.004
4.44,3.547,0,81,2.967,6.413,148.608,14,6.475
4.357,1.582,0,70.933,4.027,2.593,173.952,13.8,6.197
4.397,2.156,0,83.044,0.773,4.036,141.216,10.1,5.017
4.407,5.195,0,71.8,2.627,2.667,190.08,16.1,6.233
4.427,7.578,0,70.022,5.382,-0.655,172.992,12.8,6.93
4.35,3.651,0,65.267,5.24,5.72,186.624,36.3,10.982
4.267,4.228,0,70.578,4.013,6.899,220.224,32.1,9.112
4.223,4.743,0,67.8,4.14,8.853,197.568,44.6,17.355
4.137,8.679,0,78.811,4.53,9.242,186.912,40.4,25.903
3.887,9.793,0,81.267,4.713,14.44,178.56,46.9,36.269
3.767,2.302,0,76.733,7.933,20.18,206.784,69.1,65.675
3.697,6.727,56.1,86.267,3.4,17.373,154.944,38.55,45.984
3.58,14.146,150.1,74.233,6.263,21.51,187.68,81.95,41.345
3.5,12.631,15.6,76.6,7.433,23.283,125.568,84.2,8.357
3.353,5.467,19.4,73.467,7.46,27.247,132.48,89.7,28.965
3.41,3.725,57.7,86.6,6.52,28.57,145.728,82.8,33.239
3.02,16.495,52.9,85.444,5.818,28.881,142.944,82.5,37.01
2.877,21.696,152.8,90.667,3.707,27.523,133.056,57,60.167
2.717,39.409,75,87.967,6.127,25.839,110.592,69.2,48.627
2.647,22.967,13,78.933,8.453,26.167,139.968,80.5,37.39
2.777,12.081,0,75.733,6.2,21.5,94.464,61.8,15.799
2.827,3.942,0,73.2,5.067,20.737,113.472,53.7,4.93
2.947,0.532,0,68.489,5.689,16.204,50.688,46.4,13.122
3.117,1.335,0,65.133,7.113,15.593,139.392,49.1,14.195
3.153,1.28,0,73.2,3.64,7.667,115.776,22.4,7.042
3.203,3.525,0,71.933,4.44,3.16,114.048,20.3,5.968
3.28,3.923,0,75.322,4.238,6.54,127.872,19.1,6.972
3.36,0.879,0,60.267,5.367,2.367,153.792,20.1,7.578
3.4,0.585,0,58.956,5.021,5.327,118.944,32.4,8.928
3.433,0.695,0,52.933,6.813,6.56,148.032,44.1,11.803
3.47,0.411,0,54.844,5.751,7.693,188.544,40.4,12.185
3.46,1.36,0,78.333,4.153,9.5,183.168,36.3,15.96
3.413,5.931,0,78.989,3.523,8.481,204.96,42.6,21.811
4.033,7.239,0,73.933,7.04,15.21,187.2,64.1,44.917
3.723,6.501,0,81.733,5.393,17.31,176.256,53.5,50.709
3.367,6.106,56.2,79.333,8.087,20.053,167.616,74.6,68.537
3.287,9.171,30,77.567,5.53,21.496,163.872,74.3,37.588
2.67,5.051,7.1,73.733,4.26,25.483,153.216,73.9,6.522
2.437,0.448,35.2,71.867,6.327,25.983,138.24,94.6,25.703
2.51,27.169,160.4,81.867,5.093,25.653,130.176,65,28.399
2.683,5.951,12.5,79.633,9.296,28.722,98.784,98,47.938
2.973,2.677,15.9,81.067,6.093,27.153,152.64,80.9,73.161
3.29,1.749,2.6,83.744,6.911,25.118,104.736,74.1,50.728
3.403,6.503,110.7,84.067,6.18,26.26,128.448,69.25,31.773
3.447,9.759,3.9,75.333,4.453,21.54,152.64,58.2,12.905
3.62,9.825,0,89.867,1.627,15.98,112.896,20,3.531
4.117,8.036,0,78.556,5.697,15.422,114.624,39.7,13.84
4.257,8.541,0,78.4,5.48,11.523,112.896,30,9.453
3.857,5.207,0,69.667,5.14,8.537,131.904,26,8.627
3.703,1.32,0,59.067,6.493,6.757,145.152,32.4,9.078
3.663,0.506,0,51.711,6.036,2.548,166.848,25.1,8.806
3.68,0.3,0,85.733,1.107,0.35,209.664,9.6,4.085
3.633,0.97,0,71.178,3.836,-1.829,163.008,14.9,5.875
3.603,0.907,0,66.4,6.02,2.993,152.064,26.3,9.176
3.577,1.36,0,66.383,5.002,5.326,192.24,34.2,10.57
3.49,0.885,0,61.4,6.2,9.333,160.128,51.6,19.868
3.46,0.907,0,48.889,7.084,13.406,207.648,90.6,44.134
3.583,0,0,57.4,7.733,14.41,232.128,79.9,53.921
3.79,0,0,60.333,7.52,19.21,166.464,85,68.683
3.967,0,36.9,66.733,8.18,20.597,158.4,91.2,75.044
4.3,0,13.2,64.067,7.042,23.934,142.752,102.7,52.237
4.387,0.936,59.6,71,7.5,24.92,135.36,93.45,5.78
4.53,1.166,188.7,79.933,4.373,26.17,84.096,71.65,19.416
2.93,78.573,332.4,88.867,2.967,26.987,100.8,56.25,24.295
2.143,39.044,69.1,84.711,7.723,28.987,68.736,88.9,42.238
2.227,22.784,58.5,87.133,4.48,27.19,111.168,56.1,63.601
2.207,11.934,13.8,79.433,7.324,26.321,173.856,85.8,53.946
2.233,23.591,30.9,78.467,5.713,22.743,147.456,61.5,29.181
2.357,33.047,100.5,85.067,2.9,21.217,141.12,41,14.248
2.403,26.4,0,85.733,3.873,17.597,135.36,31.9,4.029
2.21,18.459,0,86.378,2.469,13.498,130.368,22.1,9.515
1.99,13.313,0,76.733,4.36,8.727,176.256,26.8,9.084
1.977,12.193,0,83.8,3.213,7.25,148.608,16.4,6.291
2.017,12.693,0,84.467,3.193,5.73,162.432,13,5.651
2.12,10.297,0,79.811,3.116,4.885,175.392,17.2,6.189
2.157,10.561,0,84.133,2.96,0.237,198.144,10.9,4.409
2.18,13.043,0,81.633,2.768,-0.635,199.968,13.3,5.351
2.167,14.607,0,83.667,3.133,1.583,219.456,14.6,6.106
2.057,18.847,0,79.689,3.52,5.833,170.88,18.8,7.982
2.02,11.491,0,54.133,6.593,10.257,222.912,65.9,23.513
2.07,7.419,0,62.056,7.589,12.711,204.576,73.1,37.057
2.163,1.673,0,66.4,7.787,13.953,202.176,70.4,47.229
2.433,0.891,0,70.533,5.873,16.333,166.464,66.8,53.616
2.59,0.359,0,69.133,8.467,21.71,140.544,87.8,76.164
2.653,0,1.1,67.178,6.939,23.594,146.688,91.4,52.173
2.91,0,10.8,65.6,5.747,25.717,123.84,91.1,8.794
3.24,0.71,116.2,79,6.587,26.83,132.48,90.85,28.05
3.25,5.855,29.1,73.133,9.66,29.58,175.104,119.6,43.05
3.087,9.019,265.8,83.8,6.486,27.417,131.04,89.4,37.617
2.95,13.325,1.2,82.133,7.167,27.193,116.928,73,76.847
2.84,10.166,7.9,81.722,5.84,26.026,138.24,70.3,48.692
2.78,1.472,0,72.467,7.6,24.04,132.48,78.6,34.209
2.69,1.99,1.2,72.267,4.5,21.177,173.952,63.8,13.212
