地下水埋深,扶沟站径流,练寺雨量站降水量(mm),平均相对湿度%,日照时数h,平均气温℃,平均风速(km/d),小蒸发皿(mm),作物需水量（mm）
3.46,2.252,0,51.7,5.71,0.165,173.664,12.5,5.06
3.47,1.784,0,64.2,3.15,2.455,185.76,9.8,4.97
3.46,2.1735,0,67.16666667,4.145,2.178333333,184.032,14.9,5.94
3.455,2.041,0,66.8,3.55,2.555,170.208,12.8,5.41
3.5,1.809,0,44.5,7.87,5.96,158.976,30.5,9.26
3.545,2.822666667,0,73.8,2.343333333,8.566666667,176.544,16.4,5.69
3.57,5.13,0,69.8,5.74,10.85,152.928,30,11.34
3.485,7.48,0,79.6,3.15,8.14,206.496,19.2,10.66
3.395,10.92833333,0,68.81666667,5.718333333,11.90916667,146.736,38.7,22.79
3.375,13.343,0,77.2,4.72,13.105,216.864,28.8,22.63
3.355,6.63,0,75.1,6.11,14.965,169.344,37.1,30.75
3.34,4.737,0,71.4,7.81,18.06,165.024,46.3,42.94
3.375,5.618,10.8,75.5,6.51,20.025,191.808,46,43.48
3.495,12.207,7.4,72.9,7.6,21.39,175.392,51.9,48.33
3.665,8.298666667,0,61.6,9.786666667,23.28333333,176.976,86.6,27.83
3.78,7.067,9.2,61.1,6.74,24.265,220.32,73.8,9.47
3.84,3.19,0,57.3,8.92,26.46,108,76.2,5.46
4.1,0.4296,31.3,68.6,6.28,27.845,114.048,62.4,22.69
4.005,3.483,46.8,78.6,7.62,27.325,135.648,65.8,23.54
3.855,11.296,121.9,84.1,4.69,26.715,123.552,46.35,18.42
3.635,12.97666667,0.7,83.13333333,8.78,29.2675,97.2,66.7,34.13
3.575,12.161,17.3,83.8,6.89,28.53,117.504,61.2,51.98
3.7,2.364,3.2,77.2,9.23,26.605,180.576,61.1,62.73
3.91,2.9145,0,82.16666667,8.838333333,27.485,122.112,59.6,29.66
3.985,2.056,0,75.7,8.35,24.275,155.52,52.4,24.45
4.04,4.436,47.3,80.6,4.79,17.49,198.72,30.5,15.38
4.175,2.067,0,67.8,7.09,18.33,110.592,42,5.02
4.225,1.883,0,68.5,6.75,18.91,114.912,40.1,1.33
4.28,1.585,0,67.9,6.21,19.985,79.488,36,11.03
4.435,1.478666667,0,64.46666667,6.135,13.185,69.264,32.5,8.64
4.505,3.377,0,68.1,5.91,12.14,95.04,23.2,7.08
4.485,3.535,0,83.4,2.9,7.22,164.16,8.2,4.23
4.425,3.135,0,83.7,2.07,7.095,167.616,9.1,4.18
4.34,2.373,0,73.1,4.14,2.235,196.992,8.8,4.02
4.395,0,0,78.5,2.4,3.92,153.792,7,3.68
4.395,3.234333333,0,79.36666667,0.66,3.789166667,121.968,8.1,3.51
4.41,4.47,0,64.8,3.44,3.75,163.296,12.9,4.85
4.41,8.027,0,78,2.7,-2.135,217.728,6.4,3.04
4.43,6.662333333,0,69.93333333,5.873333333,1.4025,163.584,9.6,5.28
4.36,3.437,0,64.8,5.49,4.295,170.208,21.3,6.59
4.305,2.77,0,72.6,2.7,6.785,267.84,22.3,7.05
4.26,5.612333333,0,66.36666667,5.69,7.848333333,172.224,24.8,6.46
4.235,3.05,0,68.7,2.22,8.465,201.312,25.4,9.26
4.19,7.697,0,71.2,6.04,9.67,196.128,32.2,15.32
4.115,9.386333333,0,80.01666667,4.745,9.0075,179.28,27.4,18.68
3.91,10.069,0,86.7,3.25,12.98,162.432,23.4,18.6
3.82,8.073,0,66.6,8.95,18.725,212.544,53.9,42.64
3.75,0,0,83.7,6.77,20.225,203.04,38.7,40.7
3.695,2.12,53.7,85.4,4.38,17.89,168.48,29.15,33.41
3.665,13.513,38.4,83.9,4.03,19.28,158.112,33.1,35.66
3.555,15.67666667,114.1,71.45,6.085,21.155,187.344,58.25,18.26
3.55,15.38,4.2,74.4,7.72,23.1,127.872,60.2,8.36
3.385,5.39,11.4,75.1,7.83,25.48,113.184,54.6,5.95
3.345,6.377,19.4,75.6,6.79,27.215,146.016,59.1,23.01
3.44,3.434,49.7,88.2,4.97,27.355,146.016,47.7,19.36
3.22,18.604,60.9,84.7,7.96,30.28,145.152,64.8,25.03
2.985,8.292,0,85.16666667,5.576666667,28.54083333,141.84,52.8,25.86
2.89,14.574,79.5,89.9,4.32,27.71,125.28,37.15,41.48
2.815,38.05,73.3,90.5,4.97,26.68,128.736,38.75,44.84
2.685,39.03333333,75,87.55,5.46,25.65416667,111.456,50.3,22.48
2.645,25.26,0,79.7,9.67,25.905,129.6,55.1,26.34
2.7,16.97,13,74.8,6.72,24.34,164.16,50.5,21.69
2.79,10.341,0,77.5,5.59,21.255,57.888,36.7,5.17
2.815,5.518,0,71.5,5.79,21.9,114.048,39.9,0.57
2.86,0.638,0,70.1,5.03,17.775,101.088,31.5,9.48
2.985,0.554333333,0,70.93333333,5.313333333,15.73583333,31.104,28.7,8
3.115,1.928,0,60.9,7.49,15.525,137.376,35.9,9.92
3.13,0.1727,0,67.7,5.9,11.79,131.328,24.4,7.16
3.16,1.823,0,78.9,2.74,7.575,114.048,11.2,4.16
3.19,4.143,0,77.9,3.03,1.415,100.224,9.1,2.91
3.24,4.215,0,64.7,7.02,7.555,119.232,19.1,5.66
3.295,2.814,0,78.28333333,2.966666667,5.58,143.424,11.2,4.37
3.35,1.013,0,66.5,5.88,3.235,139.104,12.8,4.73
3.385,0.567,0,49.3,4.84,1.935,137.376,15.8,5.19
3.405,0.615333333,0,63.03333333,4.861666667,6.370833333,132.624,23.9,6.59
3.425,0.449,0,50.9,6.08,6.43,151.2,28.8,7.58
3.455,1.185,0,49.8,7.92,6.5,180.576,33.9,9.37
3.475,0.026,0,60.96666667,4.846666667,8.45,173.088,21.8,7.04
3.465,0.1,0,74.8,4.86,9.615,185.76,28.1,11.06
3.44,3.95,0,87.4,1.81,8.47,236.736,16.4,9.23
3.405,6.887,0,73.78333333,4.845,8.885833333,159.696,34.4,17.48
4.05,6.615,0,71.4,6.55,15.31,203.904,44.1,29.32
3.975,7.533,0,82.1,6.46,16.04,151.2,35.1,30.54
3.61,6.461,0,80,5.64,17.43,190.08,38.4,35.77
3.38,6.005,50.9,78.6,7.86,19.32,166.752,47.4,44.46
3.32,7.855,17,82.4,6.64,20.53,175.392,43.7,42.32
3.28,9.055333333,18.3,74.35,5.925,22.47333333,155.088,57.8,19.34
2.815,7.314,3.5,71.5,3.8,25.04,146.88,48.9,6.52
