地下水埋深,扶沟站径流,练寺雨量站降水量(mm),平均相对湿度%,日照时数h,平均气温℃,平均风速(km/d),小蒸发皿(mm),作物需水量（mm）
3.463,2.07,0,61.022,4.335,1.599,181.152,37.2,15.965
3.5,2.224,0,61.7,4.588,5.694,168.576,59.7,20.362
3.483,7.846,0,72.739,4.869,10.3,168.72,87.9,44.787
3.357,8.237,0,74.567,6.213,15.377,183.744,112.2,96.322
3.512,8.708,18.2,70,7.966,21.566,181.392,184.5,119.638
3.907,3.562,40.5,62.333,7.313,26.19,147.456,212.4,37.622
3.832,9.252,169.4,81.944,7.03,27.769,118.8,178.85,76.093
3.728,5.813,20.5,81.056,8.319,27.54,140.064,181.9,144.373
4.067,2.853,47.3,74.7,6.743,20.032,154.944,124.9,44.853
4.313,1.649,0,66.956,6.365,17.36,87.888,108.6,21.007
4.472,3.349,0,78.4,3.627,8.818,142.272,40.5,15.479
4.377,1.869,0,76.989,2.4,3.315,157.584,23.9,11.214
4.417,6.386,0,70.911,4.004,1.006,181.536,28.9,13.163
4.308,3.94,0,67.922,4.627,6.309,203.424,68.4,20.094
4.18,6.711,0,73.306,4.335,9.048,192.24,85,43.258
3.827,6.047,0,79,6.323,17.31,192.672,116,101.943
3.638,10.437,206.2,80.25,4.832,19.442,171.312,120.5,87.328
3.427,9.049,35,75.033,7.447,25.265,129.024,173.9,37.322
3.215,10.11,110.6,86.022,6.169,28.725,144.336,165.3,70.249
2.797,30.552,227.8,89.317,4.917,26.681,121.824,126.2,108.794
2.712,17.524,13,77.333,7.327,23.833,117.216,142.3,53.19
2.887,2.237,0,70.844,5.378,18.47,82.08,100.1,18.051
3.135,1.308,0,69.167,5.377,11.63,127.584,71.5,21.237
3.242,3.724,0,73.628,4.339,4.85,120.96,39.4,12.94
3.38,0.732,0,59.611,5.194,3.847,136.368,52.5,16.506
3.452,0.553,0,53.889,6.282,7.127,168.288,84.5,23.988
3.437,3.646,0,78.661,3.838,8.99,194.064,78.9,37.77
3.878,6.87,0,77.833,6.217,16.26,181.728,117.6,95.626
3.327,7.638,86.2,78.45,6.808,20.774,165.744,148.9,106.125
2.553,2.75,42.3,72.8,5.293,25.733,145.728,168.5,32.225
2.597,16.56,172.9,80.75,7.194,27.188,114.48,163,76.337
3.132,2.213,18.5,82.406,6.502,26.136,128.688,155,123.889
3.425,8.131,114.6,79.7,5.317,23.9,140.544,127.45,44.678
3.868,8.93,0,84.211,3.662,15.701,113.76,59.7,17.371
4.057,6.874,0,74.033,5.31,10.03,122.4,56,18.08
3.683,0.913,0,55.389,6.264,4.652,156,57.5,17.884
3.657,0.635,0,78.456,2.471,-0.74,186.336,24.5,9.959
3.59,1.133,0,66.392,5.511,4.16,172.152,60.5,19.746
3.475,0.896,0,55.144,6.642,11.369,183.888,142.2,64.002
3.687,0,0,58.867,7.627,16.81,199.296,164.9,122.604
4.133,0,50.1,65.4,7.611,22.265,150.576,193.9,127.281
4.458,1.051,248.3,75.467,5.937,25.545,109.728,165.1,25.197
2.537,58.809,401.5,86.789,5.345,27.987,84.768,145.15,66.533
2.217,17.359,72.3,83.283,5.902,26.756,142.512,141.9,117.547
2.295,28.319,131.4,81.767,4.307,21.98,144.288,102.5,43.429
2.307,22.429,0,86.056,3.171,15.548,132.864,54,13.544
1.983,12.753,0,80.267,3.787,7.988,162.432,43.2,15.375
2.068,11.495,0,82.139,3.154,5.308,168.912,30.2,11.839
2.168,11.802,0,82.883,2.864,-0.199,199.056,24.2,9.76
2.112,16.727,0,81.678,3.327,3.708,195.168,33.4,14.089
2.045,9.455,0,58.094,7.091,11.484,213.744,139,60.571
2.298,1.282,0,68.467,6.83,15.143,184.32,137.2,100.844
2.622,0.18,1.1,68.156,7.703,22.652,143.616,179.2,128.337
3.075,0.355,127,72.3,6.167,26.273,128.16,181.95,36.844
3.168,7.437,294.9,78.467,8.073,28.498,153.072,209,80.668
2.895,11.745,9.1,81.928,6.503,26.61,127.584,143.3,125.539
2.735,1.731,1.2,72.367,6.05,22.608,153.216,142.4,47.421
2.87,1.485,0,77.356,3.986,16.926,123.936,78.1,17.494
3.063,9.1,0,68.8,4.847,9.528,107.712,61.7,17.91
3.012,10.234,0,77.356,2.429,1.432,180.528,25.1,10.344
2.993,8.521,0,65.228,4.711,4.779,158.352,53.3,16.535
3.128,3.99,0,63.5,4.284,8.2,150.72,79,21.882
3.283,0.921,0,71.056,5.74,12.233,176.736,126.95,53.221
3.19,0,0,72.4,5.25,15.533,174.24,122.6,92.87
3.133,5.295,133.2,79.961,5.916,19.265,145.824,119.4,88.91
3.192,4.094,106,68.067,6.823,26.953,142.272,148.3,31.695
3.63,10.383,146.1,80.261,6.202,27.613,113.76,193.65,69.818
2.965,11.079,81.8,83.65,5.974,26.338,99.312,154.05,117.276
3,6.88,41,77.533,6.107,21.553,148.032,107.05,43.493
3.15,1.566,0,71.678,4.781,15.853,121.536,97.95,17.258
3.247,3.038,0,67.233,5.18,8.828,140.832,74.7,20
3.245,9.34,0,87.311,1.997,1.956,182.448,20.7,8.266
3.092,0.958,0,66.244,5.108,2.256,165.936,47.9,15.517
3.15,5.035,0,78.711,3.711,4.635,156.48,46.35,15.109
3.16,4.303,0,74.05,4.392,8.774,196.512,100.25,45.389
3.128,1.546,0,74.133,5.057,15.022,182.304,109.6,92.036
3.158,8.955,56.2,77.072,5.581,20.459,119.664,135.95,92.497
3.173,3.278,337.6,72.367,5.93,25.3,117.216,164.15,29.857
2.532,21.132,117.6,88.278,4.558,25.839,98.16,120.55,62.838
1.762,22.561,346.8,89.983,2.272,25.004,118.608,74.95,85.479
1.263,47.913,85.8,86.667,4.333,22.11,108.576,70.5,35.303
0.93,48.73,0,78.25,4.632,15.258,125.712,55.85,20.247
1.005,29.4,0,80.3,3.533,8.448,182.016,49,15.75
1.237,20.608,0,75.128,3.277,3.161,149.088,35.3,11.916
1.53,17.472,0,68.25,4.519,2.648,160.848,42.1,14.379
1.823,14.828,0,56.875,5.998,8.405,186.336,87.5,25.788
